Ranking,Modelo,CV_F1_Score,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_AUC_ROC,Overfitting
1,k-NN,0.9199447895100068,0.79,0.7457627118644068,0.88,0.8073394495412844,0.8725999999999999,0.11260533996872235
2,Random Forest,0.9139130434782607,0.73,0.676923076923077,0.88,0.7652173913043478,0.8625999999999999,0.1486956521739129
3,Naive Bayes,0.9053394355453852,0.7,0.6428571428571429,0.9,0.75,0.7674,0.1553394355453852
4,SVM,0.9513043478260869,0.66,0.6025641025641025,0.94,0.734375,0.8864,0.21692934782608686
5,Logistic Regression,0.9513043478260869,0.64,0.5875,0.94,0.7230769230769231,0.8772,0.2282274247491638
6,Gradient Boosting,0.8324848484848484,0.59,0.5542168674698795,0.92,0.6917293233082706,0.704,0.14075552517657774
